Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2022,30,Baltimore City,0085,Fort Worthington Elementary/Middle,All,29.2,210,15.0,108,14.2,102,720.1,20221114
2022,30,Baltimore City,0087,Windsor Hills Elementary/Middle,Elementary,43.4,45,14.5,15,29.0,30,103.6,20221114
2022,30,Baltimore City,0087,Windsor Hills Elementary/Middle,Middle,43.9,35,21.3,17,22.6,18,79.8,20221114
2022,30,Baltimore City,0087,Windsor Hills Elementary/Middle,All,43.6,80,17.5,32,26.2,48,183.4,20221114
2022,30,Baltimore City,0088,Wildwood Elementary/Middle,Elementary,25.7,117,11.9,54,13.8,63,455.1,20221114
2022,30,Baltimore City,0088,Wildwood Elementary/Middle,Middle,30.4,83,11.4,31,19.0,52,273.0,20221114
2022,30,Baltimore City,0088,Wildwood Elementary/Middle,All,27.5,200,11.7,85,15.8,115,728.0,20221114
2022,30,Baltimore City,0095,Franklin Square Elementary/Middle,Elementary,29.3,47,11.2,18,18.1,29,160.3,20221114
2022,30,Baltimore City,0095,Franklin Square Elementary/Middle,Middle,35.8,50,17.9,25,17.9,25,139.9,20221114
2022,30,Baltimore City,0095,Franklin Square Elementary/Middle,All,32.3,97,14.3,43,18.0,54,300.2,20221114
2022,30,Baltimore City,0097,Collington Square Elementary/Middle,Elementary,59.9,70,19.7,23,40.2,47,116.8,20221114
2022,30,Baltimore City,0097,Collington Square Elementary/Middle,Middle,57.3,73,19.6,25,37.7,48,127.4,20221114
2022,30,Baltimore City,0097,Collington Square Elementary/Middle,All,58.5,143,19.7,48,38.9,95,244.3,20221114
2022,30,Baltimore City,0105,Moravia Park Elementary,Elementary,24.4,144,9.3,55,15.1,89,589.7,20221114
2022,30,Baltimore City,0122,The Historic Samuel Coleridge-Taylor Elementary,Elementary,41.1,83,14.4,29,26.7,54,202.0,20221114
2022,30,Baltimore City,0124,Bay-Brook Elementary/Middle,Elementary,30.6,105,16.9,58,13.7,47,342.7,20221114
2022,30,Baltimore City,0124,Bay-Brook Elementary/Middle,Middle,28.7,93,11.1,36,17.6,57,323.5,20221114
2022,30,Baltimore City,0124,Bay-Brook Elementary/Middle,All,29.7,198,14.1,94,15.6,104,666.3,20221114
2022,30,Baltimore City,0125,Furman Templeton Preparatory Academy,Elementary,36.5,133,11.2,41,25.2,92,364.6,20221114
2022,30,Baltimore City,0130,Booker T. Washington Middle,Middle,50.7,92,18.2,33,32.5,59,181.6,20221114
2022,30,Baltimore City,0134,Walter P. Carter Elementary/Middle,Elementary,27.3,112,10.5,43,16.8,69,409.8,20221114
2022,30,Baltimore City,0134,Walter P. Carter Elementary/Middle,Middle,25.0,61,11.9,29,13.1,32,244.0,20221114
2022,30,Baltimore City,0134,Walter P. Carter Elementary/Middle,All,26.5,173,11.0,72,15.4,101,653.9,20221114
2022,30,Baltimore City,0142,Robert W. Coleman Elementary,Elementary,31.6,68,11.2,24,20.5,44,214.9,20221114
2022,30,Baltimore City,0144,Billie Holiday Elementary,Elementary,54.2,80,19.6,29,34.5,51,147.7,20221114
2022,30,Baltimore City,0150,Mary Ann Winterling Elementary at Bentalou,Elementary,36.4,122,13.4,45,23.0,77,335.2,20221114
2022,30,Baltimore City,0159,The Historic Cherry Hill Elementary/Middle,Elementary,31.6,110,11.5,40,20.1,70,347.6,20221114
2022,30,Baltimore City,0159,The Historic Cherry Hill Elementary/Middle,Middle,31.8,99,10.6,33,21.2,66,311.6,20221114
2022,30,Baltimore City,0159,The Historic Cherry Hill Elementary/Middle,All,31.7,209,11.1,73,20.6,136,659.2,20221114
2022,30,Baltimore City,0164,Arundel Elementary,Elementary,32.2,106,12.8,42,19.4,64,329.1,20221114
2022,30,Baltimore City,0177,George W. F. McMechen High,High,20.5,7,5.9,2,14.7,5,34.1,20221114
2022,30,Baltimore City,0178,Excel Academy at Francis M. Wood High,High,>= 95.0,*,85.6,228,>= 95.0,*,266.3,20221114
2022,30,Baltimore City,0201,Dickey Hill Elementary/Middle,Elementary,37.1,61,14.0,23,23.1,38,164.5,20221114
2022,30,Baltimore City,0201,Dickey Hill Elementary/Middle,Middle,58.1,46,24.0,19,34.1,27,79.2,20221114
2022,30,Baltimore City,0201,Dickey Hill Elementary/Middle,All,43.9,107,17.2,42,26.7,65,243.7,20221114
2022,30,Baltimore City,0203,Maree Garnett Farring Elementary/Middle,Elementary,21.9,97,10.0,44,12.0,53,442.2,20221114
2022,30,Baltimore City,0203,Maree Garnett Farring Elementary/Middle,Middle,25.1,53,10.9,23,14.2,30,211.0,20221114
2022,30,Baltimore City,0203,Maree Garnett Farring Elementary/Middle,All,23.0,150,10.3,67,12.7,83,653.2,20221114
2022,30,Baltimore City,0204,Mary E. Rodman Elementary,Elementary,31.5,114,11.3,41,20.2,73,361.8,20221114
2022,30,Baltimore City,0205,Woodhome Elementary/Middle,Elementary,18.8,49,<= 5.0,*,14.6,38,261.1,20221114
2022,30,Baltimore City,0205,Woodhome Elementary/Middle,Middle,33.6,49,10.3,15,23.3,34,145.7,20221114
2022,30,Baltimore City,0205,Woodhome Elementary/Middle,All,24.1,98,6.4,26,17.7,72,406.8,20221114
2022,30,Baltimore City,0206,Furley Elementary,Elementary,46.6,180,18.7,72,28.0,108,386.0,20221114
2022,30,Baltimore City,0207,Curtis Bay Elementary,Elementary,31.6,115,10.7,39,20.9,76,364.4,20221114
2022,30,Baltimore City,0210,Hazelwood Elementary/Middle,Elementary,33.0,79,10.9,26,22.1,53,239.5,20221114
2022,30,Baltimore City,0210,Hazelwood Elementary/Middle,Middle,38.4,75,10.2,20,28.2,55,195.2,20221114
2022,30,Baltimore City,0210,Hazelwood Elementary/Middle,All,35.4,154,10.6,46,24.8,108,434.7,20221114
2022,30,Baltimore City,0211,Gardenville Elementary,Elementary,45.7,91,16.1,32,29.7,59,198.9,20221114
2022,30,Baltimore City,0212,Garrett Heights Elementary/Middle,Elementary,28.5,54,10.6,20,17.9,34,189.5,20221114
2022,30,Baltimore City,0212,Garrett Heights Elementary/Middle,Middle,42.1,54,15.6,20,26.5,34,128.2,20221114
2022,30,Baltimore City,0212,Garrett Heights Elementary/Middle,All,34.0,108,12.6,40,21.4,68,317.6,20221114
2022,30,Baltimore City,0213,Govans Elementary,Elementary,31.5,97,12.3,38,19.2,59,307.9,20221114
2022,30,Baltimore City,0215,Highlandtown Elementary/Middle #215,Elementary,17.8,49,5.8,16,12.0,33,275.6,20221114
2022,30,Baltimore City,0215,Highlandtown Elementary/Middle #215,Middle,22.1,37,11.3,19,10.7,18,167.6,20221114
2022,30,Baltimore City,0215,Highlandtown Elementary/Middle #215,All,19.4,86,7.9,35,11.5,51,443.2,20221114
2022,30,Baltimore City,0217,Belmont Elementary,Elementary,52.8,106,16.9,34,35.9,72,200.6,20221114
2022,30,Baltimore City,0219,Yorkwood Elementary,Elementary,38.4,116,15.9,48,22.5,68,302.3,20221114
2022,30,Baltimore City,0220,Morrell Park Elementary/Middle,Elementary,34.2,90,15.2,40,19.0,50,263.4,20221114
2022,30,Baltimore City,0220,Morrell Park Elementary/Middle,Middle,34.6,54,17.3,27,17.3,27,156.2,20221114
2022,30,Baltimore City,0220,Morrell Park Elementary/Middle,All,34.3,144,16.0,67,18.4,77,419.6,20221114
2022,30,Baltimore City,0221,The Mount Washington School,Elementary,12.7,43,<= 5.0,*,8.6,29,338.9,20221114
2022,30,Baltimore City,0221,The Mount Washington School,Middle,22.6,44,11.8,23,10.8,21,194.4,20221114
2022,30,Baltimore City,0221,The Mount Washington School,All,16.3,87,6.9,37,9.4,50,533.3,20221114
2022,30,Baltimore City,0223,Pimlico Elementary/Middle,Elementary,41.3,130,21.3,67,20.0,63,314.7,20221114
